CITY,CROP,CULTIVAR,YEAR,NIT,PHO,KAL,N_REQ,AGROCHEM,DIESEL,GASOL,KEROS,ELEC
,RICE,koshihikari,2011,0.78,0.923684211,0.985263158,0.62,,0.054,0.049,0.052,0.013
,RICE,koshihikari,2012,0.79,0.935526316,0.997894737,0.62,,0.054,0.049,0.052,0.013
,RICE,koshihikari,2013,0.8,0.947368421,1.010526316,0.62,,0.054,0.049,0.052,0.013
,RICE,koshihikari,2014,0.78,0.923684211,0.985263158,0.62,,0.054,0.049,0.052,0.013
,RICE,koshihikari,2015,0.77,0.911842105,0.972631579,0.62,,0.054,0.049,0.052,0.013
,RICE,other,2011,1.07,1.267105263,1.351578947,0.85,,0.054,0.049,0.052,0.013
,RICE,other,2012,1.09,1.290789474,1.376842105,0.85,,0.054,0.049,0.052,0.013
,RICE,other,2013,1.1,1.302631579,1.389473684,0.85,,0.054,0.049,0.052,0.013
,RICE,other,2014,1.08,1.278947368,1.364210526,0.85,,0.054,0.049,0.052,0.013
,RICE,other,2015,1.06,1.255263158,1.338947368,0.85,,0.054,0.049,0.052,0.013
109,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,2.4,5.93,0.65,36
109,TEA,gyokuro,2019,5.36,2.067715356,2.639850187,2.58,,2.4,5.93,0.65,36
109,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,2.4,5.93,0.65,36
204,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,3.45,5.64,0.65,72
204,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,3.45,5.64,0.65,72
204,TEA,gyokuro,2019,5.36,2.067715356,2.639850187,2.58,,3.45,5.64,0.65,72
204,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,3.45,5.64,0.65,72
207,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,2.4,5.93,0.65,36
210,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,2.4,5.93,0.65,36
211,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,2.4,5.93,0.65,36
211,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,2.4,5.93,0.65,36
211,TEA,gyokuro,2019,5.36,2.067715356,2.639850187,2.58,,2.4,5.93,0.65,36
211,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,2.4,5.93,0.65,36
214,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,3.45,5.64,0.65,72
214,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,3.45,5.64,0.65,72
214,TEA,gyokuro,2019,5.36,2.067715356,2.639850187,2.58,,3.45,5.64,0.65,72
214,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,3.45,5.64,0.65,72
322,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,2.4,5.93,0.65,36
343,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,3.45,5.64,0.65,72
344,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,3.45,5.64,0.65,72
344,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,3.45,5.64,0.65,72
344,TEA,gyokuro,2019,5.36,2.067715356,2.639850187,2.58,,3.45,5.64,0.65,72
344,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,3.45,5.64,0.65,72
365,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,3.45,5.64,0.65,72
365,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,3.45,5.64,0.65,72
365,TEA,gyokuro,2019,5.36,2.067715356,2.639850187,2.58,,3.45,5.64,0.65,72
365,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,3.45,5.64,0.65,72
367,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,3.45,5.64,0.65,72
367,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,3.45,5.64,0.65,72
367,TEA,gyokuro,2019,5.36,2.067715356,2.639850187,2.58,,3.45,5.64,0.65,72
367,TEA,tencha,2019,5.12,1.975131086,2.52164794,2.58,,3.45,5.64,0.65,72
201,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,2.4,5.93,0.65,36
201,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,2.4,5.93,0.65,36
201,TEA,gyokuro,2019,6.36,2.453483146,3.132359551,2.58,,2.4,5.93,0.65,36
201,TEA,tencha,2019,7.2,2.77752809,3.546067416,2.58,,2.4,5.93,0.65,36
202,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,2.4,5.93,0.65,36
202,TEA,gyokuro,2019,6.36,2.453483146,3.132359551,2.58,,2.4,5.93,0.65,36
202,TEA,tencha,2019,7.2,2.77752809,3.546067416,2.58,,2.4,5.93,0.65,36
203,TEA,kabuse,2019,4.9,1.890262172,2.41329588,2.58,,2.4,5.93,0.65,36
203,TEA,gyokuro,2019,6.36,2.453483146,3.132359551,2.58,,2.4,5.93,0.65,36
203,TEA,tencha,2019,7.2,2.77752809,3.546067416,2.58,,2.4,5.93,0.65,36
212,TEA,sencha,2019,5.94,2.291460674,2.925505618,2.58,,3.45,5.64,0.65,72
212,TEA,tencha,2019,7.2,2.77752809,3.546067416,2.58,,3.45,5.64,0.65,72
109,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,2.4,5.93,0.65,36
109,TEA,gyokuro,2050,3.75,1.446629213,1.846910112,2.58,,2.4,5.93,0.65,36
109,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,2.4,5.93,0.65,36
204,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,3.45,5.64,0.65,72
204,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,3.45,5.64,0.65,72
204,TEA,gyokuro,2050,3.75,1.446629213,1.846910112,2.58,,3.45,5.64,0.65,72
204,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,3.45,5.64,0.65,72
207,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,2.4,5.93,0.65,36
210,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,2.4,5.93,0.65,36
211,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,2.4,5.93,0.65,36
211,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,2.4,5.93,0.65,36
211,TEA,gyokuro,2050,3.75,1.446629213,1.846910112,2.58,,2.4,5.93,0.65,36
211,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,2.4,5.93,0.65,36
214,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,3.45,5.64,0.65,72
214,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,3.45,5.64,0.65,72
214,TEA,gyokuro,2050,3.75,1.446629213,1.846910112,2.58,,3.45,5.64,0.65,72
214,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,3.45,5.64,0.65,72
322,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,2.4,5.93,0.65,36
343,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,3.45,5.64,0.65,72
344,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,3.45,5.64,0.65,72
344,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,3.45,5.64,0.65,72
344,TEA,gyokuro,2050,3.75,1.446629213,1.846910112,2.58,,3.45,5.64,0.65,72
344,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,3.45,5.64,0.65,72
365,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,3.45,5.64,0.65,72
365,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,3.45,5.64,0.65,72
365,TEA,gyokuro,2050,3.75,1.446629213,1.846910112,2.58,,3.45,5.64,0.65,72
365,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,3.45,5.64,0.65,72
367,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,3.45,5.64,0.65,72
367,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,3.45,5.64,0.65,72
367,TEA,gyokuro,2050,3.75,1.446629213,1.846910112,2.58,,3.45,5.64,0.65,72
367,TEA,tencha,2050,3.58,1.381048689,1.763183521,2.58,,3.45,5.64,0.65,72
201,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,2.4,5.93,0.65,36
201,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,2.4,5.93,0.65,36
201,TEA,gyokuro,2050,4.45,1.716666667,2.191666667,2.58,,2.4,5.93,0.65,36
201,TEA,tencha,2050,5.04,1.944269663,2.482247191,2.58,,2.4,5.93,0.65,36
202,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,2.4,5.93,0.65,36
202,TEA,gyokuro,2050,4.45,1.716666667,2.191666667,2.58,,2.4,5.93,0.65,36
202,TEA,tencha,2050,5.04,1.944269663,2.482247191,2.58,,2.4,5.93,0.65,36
203,TEA,kabuse,2050,3.43,1.323183521,1.689307116,2.58,,2.4,5.93,0.65,36
203,TEA,gyokuro,2050,4.45,1.716666667,2.191666667,2.58,,2.4,5.93,0.65,36
203,TEA,tencha,2050,5.04,1.944269663,2.482247191,2.58,,2.4,5.93,0.65,36
212,TEA,sencha,2050,4.16,1.604794007,2.048838951,2.58,,3.45,5.64,0.65,72
212,TEA,tencha,2050,5.04,1.944269663,2.482247191,2.58,,3.45,5.64,0.65,72
,VEG,spring,2019,1.875181529,1.875181529,1.875181529,1.21,,0.25,,,
,VEG,summer,2019,2.714683342,2.714683342,2.714683342,1.21,,0.25,,,
,VEG,autumn,2019,2.827295597,2.827295597,2.827295597,1.21,,0.25,,,
,VEG,winter,2019,1.918256256,1.918256256,1.918256256,1.21,,0.25,,,
,VEG,spring,2050,1.31262707,1.31262707,1.31262707,1.21,,0.25,,,
,VEG,summer,2050,1.90027834,1.90027834,1.90027834,1.21,,0.25,,,
,VEG,autumn,2050,1.979106918,1.979106918,1.979106918,1.21,,0.25,,,
,VEG,winter,2050,1.342779379,1.342779379,1.342779379,1.21,,0.25,,,
,,,2014,,,,,0.373,,,,
,,,2015,,,,,0.379,,,,
,,,2016,,,,,0.359,,,,
,,,2017,,,,,0.37,,,,
,,,2018,,,,,0.373,,,,
,,,2019,,,,,0.372,,,,
,,,2020,,,,,0.352,,,,
,,,2021,,,,,0.353,,,,
,,,2022,,,,,0.366,,,,
,,,2023,,,,,0.334,,,,
